Date,Open,High,Low,Close,Volume,Diff
2014-12-05,1314000,1314000,1300000,1302000,94308,14000
2014-12-04,1302000,1303000,1298000,1300000,174845,5000
2014-12-03,1300000,1301000,1295000,1298000,176584,6000
2014-12-02,1295000,1295000,1266000,1295000,179222,29000
2014-12-01,1294000,1298000,1287000,1295000,256399,11000
2014-11-28,1295000,1296000,1274000,1287000,193564,22000
2014-11-27,1273000,1301000,1264000,1264000,843167,37000
2014-11-26,1190000,1211000,1182000,1201000,222634,29000
2014-11-25,1224000,1224000,1190000,1190000,348025,34000
2014-11-24,1247000,1248000,1210000,1220000,204444,38000
2014-11-21,1219000,1226000,1217000,1223000,183372,9000
2014-11-20,1206000,1220000,1206000,1210000,114872,14000
2014-11-19,1238000,1238000,1212000,1218000,211706,26000
2014-11-18,1220000,1227000,1215000,1220000,202657,12000
2014-11-17,1190000,1220000,1182000,1205000,190967,38000
2014-11-14,1201000,1201000,1180000,1194000,180992,21000
2014-11-13,1228000,1232000,1199000,1200000,230151,33000
2014-11-12,1231000,1234000,1219000,1230000,181449,15000
2014-11-11,1255000,1261000,1227000,1231000,223970,34000
2014-11-10,1226000,1269000,1222000,1268000,352318,47000
2014-11-07,1218000,1218000,1195000,1206000,107688,23000
2014-11-06,1198000,1210000,1193000,1204000,168497,17000
2014-11-05,1215000,1225000,1194000,1202000,187182,31000
2014-11-04,1219000,1242000,1205000,1217000,237045,37000
2014-11-03,1250000,1252000,1216000,1235000,263940,36000
